Lon,Lat,Est,Tmin,Fecha
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.7,2014-12-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.8,2014-12-01
-103.81,19.33,"Peñitas, Col.",32.8,2014-12-01
-104.1,18.94,"Radar, Col.",32.0,2014-12-01
-103.87,18.91,"Tecomán, Col.",34.8,2014-12-01
-103.61,19.25,"Buenavista, Col.",18.3,2015-01-01
-103.73,18.76,"Cerro de Ortega, Col.",18.3,2015-01-01
-103.63,18.83,"Callejones, Col.",18.3,2015-01-01
-103.8,19.21,"Coquimatlán, Col.",18.3,2015-01-01
-103.6,19.33,"Cuauhtémoc, Col.",18.3,2015-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",18.3,2015-01-01
-103.87,19.17,"La Esperanza, Col.",18.3,2015-01-01
-103.77,18.81,"Laguna de Amela, Col.",18.3,2015-01-01
-103.73,19.22,"La Posta, Col.",18.3,2015-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",18.3,2015-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",18.3,2015-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",18.3,2015-01-01
-103.81,19.33,"Peñitas, Col.",18.3,2015-01-01
-104.1,18.94,"Radar, Col.",18.3,2015-01-01
-103.87,18.91,"Tecomán, Col.",18.3,2015-01-01
-103.61,19.25,"Buenavista, Col.",15.2,2015-02-01
-103.73,18.76,"Cerro de Ortega, Col.",18.1,2015-02-01
-103.63,18.83,"Callejones, Col.",18.7,2015-02-01
-103.8,19.21,"Coquimatlán, Col.",17.6,2015-02-01
-103.6,19.33,"Cuauhtémoc, Col.",15.9,2015-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",17.3,2015-02-01
-103.87,19.17,"La Esperanza, Col.",15.7,2015-02-01
-103.77,18.81,"Laguna de Amela, Col.",17.9,2015-02-01
-103.73,19.22,"La Posta, Col.",16.9,2015-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",18.6,2015-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",19.4,2015-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",21.2,2015-02-01
-103.81,19.33,"Peñitas, Col.",17.8,2015-02-01
-104.1,18.94,"Radar, Col.",19.0,2015-02-01
-103.87,18.91,"Tecomán, Col.",18.6,2015-02-01
-103.61,19.25,"Buenavista, Col.",16.3,2015-03-01
-103.73,18.76,"Cerro de Ortega, Col.",18.0,2015-03-01
-103.63,18.83,"Callejones, Col.",18.6,2015-03-01
-103.8,19.21,"Coquimatlán, Col.",18.4,2015-03-01
-103.6,19.33,"Cuauhtémoc, Col.",17.5,2015-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",17.1,2015-03-01
-103.87,19.17,"La Esperanza, Col.",15.5,2015-03-01
-103.77,18.81,"Laguna de Amela, Col.",18.0,2015-03-01
-103.73,19.22,"La Posta, Col.",17.6,2015-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",19.9,2015-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",19.3,2015-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",21.3,2015-03-01
-103.81,19.33,"Peñitas, Col.",18.3,2015-03-01
-104.1,18.94,"Radar, Col.",19.3,2015-03-01
-103.87,18.91,"Tecomán, Col.",18.7,2015-03-01
-103.61,19.25,"Buenavista, Col.",18.2,2015-04-01
-103.73,18.76,"Cerro de Ortega, Col.",19.8,2015-04-01
-103.63,18.83,"Callejones, Col.",20.3,2015-04-01
-103.8,19.21,"Coquimatlán, Col.",19.5,2015-04-01
-103.6,19.33,"Cuauhtémoc, Col.",19.2,2015-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",18.7,2015-04-01
-103.87,19.17,"La Esperanza, Col.",17.9,2015-04-01
-103.77,18.81,"Laguna de Amela, Col.",19.7,2015-04-01
-103.73,19.22,"La Posta, Col.",19.2,2015-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.7,2015-04-01
