Lon,Lat,Est,Tmax,Fecha
-103.73,18.76,"Cerro de Ortega, Col.",33.5,2014-09-01
-103.63,18.83,"Callejones, Col.",33.9,2014-09-01
-103.8,19.21,"Coquimatlán, Col.",31.3,2014-09-01
-103.6,19.32,"Cuauhtémoc, Col.",28.9,2014-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.3,2014-09-01
-103.87,19.17,"La Esperanza, Col.",32.5,2014-09-01
-103.77,18.81,"Laguna de Amela, Col.",31.9,2014-09-01
-103.73,19.22,"La Posta, Col.",31.8,2014-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",26.9,2014-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",31.9,2014-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.2,2014-09-01
-103.81,19.33,"Peñitas, Col.",31.2,2014-09-01
-104.1,18.94,"Radar, Col.",32.8,2014-09-01
-103.87,18.91,"Tecomán, Col.",35.0,2014-09-01
-103.61,19.25,"Buenavista, Col.",32.5,2014-10-01
-103.73,18.76,"Cerro de Ortega, Col.",34.3,2014-10-01
-103.63,18.83,"Callejones, Col.",34.5,2014-10-01
-103.8,19.21,"Coquimatlán, Col.",33.0,2014-10-01
-103.6,19.32,"Cuauhtémoc, Col.",30.0,2014-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.6,2014-10-01
-103.87,19.17,"La Esperanza, Col.",33.8,2014-10-01
-103.77,18.81,"Laguna de Amela, Col.",33.5,2014-10-01
-103.73,19.22,"La Posta, Col.",33.0,2014-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.8,2014-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.0,2014-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.8,2014-10-01
-103.81,19.33,"Peñitas, Col.",33.1,2014-10-01
-104.1,18.94,"Radar, Col.",33.8,2014-10-01
-103.87,18.91,"Tecomán, Col.",36.0,2014-10-01
-103.61,19.25,"Buenavista, Col.",31.9,2014-11-01
-103.73,18.76,"Cerro de Ortega, Col.",33.7,2014-11-01
-103.63,18.83,"Callejones, Col.",33.6,2014-11-01
-103.8,19.21,"Coquimatlán, Col.",32.5,2014-11-01
-103.6,19.33,"Cuauhtémoc, Col.",29.2,2014-11-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.2,2014-11-01
-103.87,19.17,"La Esperanza, Col.",32.1,2014-11-01
-103.77,18.81,"Laguna de Amela, Col.",33.2,2014-11-01
-103.73,19.22,"La Posta, Col.",32.2,2014-11-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.7,2014-11-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",31.4,2014-11-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.8,2014-11-01
-103.81,19.33,"Peñitas, Col.",31.6,2014-11-01
-104.1,18.94,"Radar, Col.",33.1,2014-11-01
-103.87,18.91,"Tecomán, Col.",34.3,2014-11-01
-103.61,19.25,"Buenavista, Col.",32.7,2014-12-01
-103.73,18.76,"Cerro de Ortega, Col.",32.5,2014-12-01
-103.63,18.83,"Callejones, Col.",32.9,2014-12-01
-103.8,19.21,"Coquimatlán, Col.",31.9,2014-12-01
-103.6,19.33,"Cuauhtémoc, Col.",29.1,2014-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.6,2014-12-01
-103.87,19.17,"La Esperanza, Col.",32.2,2014-12-01
-103.77,18.81,"Laguna de Amela, Col.",32.0,2014-12-01
-103.73,19.22,"La Posta, Col.",32.2,2014-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.4,2014-12-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.7,2014-12-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.8,2014-12-01
-103.81,19.33,"Peñitas, Col.",32.8,2014-12-01
-104.1,18.94,"Radar, Col.",32.0,2014-12-01
-103.87,18.91,"Tecomán, Col.",34.8,2014-12-01
-103.61,19.25,"Buenavista, Col.",32.6,2015-01-01
-103.73,18.76,"Cerro de Ortega, Col.",33.0,2015-01-01
-103.63,18.83,"Callejones, Col.",34.5,2015-01-01
-103.8,19.21,"Coquimatlán, Col.",32.8,2015-01-01
-103.6,19.33,"Cuauhtémoc, Col.",29.8,2015-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.4,2015-01-01
-103.87,19.17,"La Esperanza, Col.",33.2,2015-01-01
-103.77,18.81,"Laguna de Amela, Col.",32.6,2015-01-01
-103.73,19.22,"La Posta, Col.",33.1,2015-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.3,2015-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.9,2015-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.4,2015-01-01
-103.81,19.33,"Peñitas, Col.",33.7,2015-01-01
-104.1,18.94,"Radar, Col.",32.4,2015-01-01
-103.87,18.91,"Tecomán, Col.",35.1,2015-01-01
-103.61,19.25,"Buenavista, Col.",30.5,2015-02-01
-103.73,18.76,"Cerro de Ortega, Col.",31.4,2015-02-01
-103.63,18.83,"Callejones, Col.",32.9,2015-02-01
-103.8,19.21,"Coquimatlán, Col.",30.8,2015-02-01
-103.6,19.33,"Cuauhtémoc, Col.",28.2,2015-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",30.8,2015-02-01
-103.87,19.17,"La Esperanza, Col.",30.5,2015-02-01
-103.77,18.81,"Laguna de Amela, Col.",30.4,2015-02-01
-103.73,19.22,"La Posta, Col.",31.2,2015-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",26.6,2015-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.7,2015-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.9,2015-02-01
-103.81,19.33,"Peñitas, Col.",31.6,2015-02-01
-104.1,18.94,"Radar, Col.",30.7,2015-02-01
-103.87,18.91,"Tecomán, Col.",31.4,2015-02-01
-103.61,19.25,"Buenavista, Col.",31.2,2015-03-01
-103.73,18.76,"Cerro de Ortega, Col.",32.5,2015-03-01
-103.63,18.83,"Callejones, Col.",34.0,2015-03-01
-103.8,19.21,"Coquimatlán, Col.",32.3,2015-03-01
-103.6,19.33,"Cuauhtémoc, Col.",29.3,2015-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.8,2015-03-01
-103.87,19.17,"La Esperanza, Col.",32.5,2015-03-01
-103.77,18.81,"Laguna de Amela, Col.",31.5,2015-03-01
-103.73,19.22,"La Posta, Col.",32.4,2015-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.5,2015-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.6,2015-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.0,2015-03-01
-103.81,19.33,"Peñitas, Col.",32.8,2015-03-01
-104.1,18.94,"Radar, Col.",30.7,2015-03-01
-103.87,18.91,"Tecomán, Col.",33.9,2015-03-01
-103.61,19.25,"Buenavista, Col.",34.0,2015-04-01
-103.73,18.76,"Cerro de Ortega, Col.",32.9,2015-04-01
-103.63,18.83,"Callejones, Col.",37.5,2015-04-01
-103.8,19.21,"Coquimatlán, Col.",34.2,2015-04-01
-103.6,19.33,"Cuauhtémoc, Col.",32.3,2015-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.3,2015-04-01
-103.87,19.17,"La Esperanza, Col.",34.6,2015-04-01
-103.77,18.81,"Laguna de Amela, Col.",31.9,2015-04-01
-103.73,19.22,"La Posta, Col.",34.7,2015-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.5,2015-04-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.0,2015-04-01
