Lon,Lat,Est,Tmed,Fecha
-103.87,18.91,"Tecomán, Col.",34.8,2014-12-01
-103.61,19.25,"Buenavista, Col.",24.2,2015-01-01
-103.73,18.76,"Cerro de Ortega, Col.",25.9,2015-01-01
-103.63,18.83,"Callejones, Col.",27.2,2015-01-01
-103.8,19.21,"Coquimatlán, Col.",25.9,2015-01-01
-103.6,19.33,"Cuauhtémoc, Col.",23.3,2015-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",25.8,2015-01-01
-103.87,19.17,"La Esperanza, Col.",24.5,2015-01-01
-103.77,18.81,"Laguna de Amela, Col.",25.6,2015-01-01
-103.73,19.22,"La Posta, Col.",25.6,2015-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.1,2015-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.9,2015-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",27.0,2015-01-01
-103.81,19.33,"Peñitas, Col.",26.3,2015-01-01
-104.1,18.94,"Radar, Col.",26.1,2015-01-01
-103.87,18.91,"Tecomán, Col.",27.7,2015-01-01
-103.61,19.25,"Buenavista, Col.",22.8,2015-02-01
-103.73,18.76,"Cerro de Ortega, Col.",24.7,2015-02-01
-103.63,18.83,"Callejones, Col.",25.8,2015-02-01
-103.8,19.21,"Coquimatlán, Col.",24.2,2015-02-01
-103.6,19.33,"Cuauhtémoc, Col.",22.1,2015-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",24.1,2015-02-01
-103.87,19.17,"La Esperanza, Col.",23.1,2015-02-01
-103.77,18.81,"Laguna de Amela, Col.",24.2,2015-02-01
-103.73,19.22,"La Posta, Col.",24.0,2015-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",22.6,2015-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.0,2015-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.5,2015-02-01
-103.81,19.33,"Peñitas, Col.",24.7,2015-02-01
-104.1,18.94,"Radar, Col.",24.9,2015-02-01
-103.87,18.91,"Tecomán, Col.",25.0,2015-02-01
-103.61,19.25,"Buenavista, Col.",23.8,2015-03-01
-103.73,18.76,"Cerro de Ortega, Col.",25.2,2015-03-01
-103.63,18.83,"Callejones, Col.",26.3,2015-03-01
-103.8,19.21,"Coquimatlán, Col.",25.3,2015-03-01
-103.6,19.33,"Cuauhtémoc, Col.",23.4,2015-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",25.0,2015-03-01
-103.87,19.17,"La Esperanza, Col.",24.0,2015-03-01
-103.77,18.81,"Laguna de Amela, Col.",24.7,2015-03-01
-103.73,19.22,"La Posta, Col.",25.0,2015-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.7,2015-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",23.9,2015-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.6,2015-03-01
-103.81,19.33,"Peñitas, Col.",25.5,2015-03-01
-104.1,18.94,"Radar, Col.",25.0,2015-03-01
-103.87,18.91,"Tecomán, Col.",26.3,2015-03-01
-103.61,19.25,"Buenavista, Col.",26.1,2015-04-01
-103.73,18.76,"Cerro de Ortega, Col.",26.3,2015-04-01
-103.63,18.83,"Callejones, Col.",28.9,2015-04-01
-103.8,19.21,"Coquimatlán, Col.",26.8,2015-04-01
-103.6,19.33,"Cuauhtémoc, Col.",25.7,2015-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",26.5,2015-04-01
-103.87,19.17,"La Esperanza, Col.",26.2,2015-04-01
-103.77,18.81,"Laguna de Amela, Col.",25.8,2015-04-01
-103.73,19.22,"La Posta, Col.",26.9,2015-04-01
